username,movie_title,review_text,sentiment,timestamp
AFRAH M,Stranger Things,The series was absolutely fantastic and well-acted! Perfect casting and coordination!,Positive,2025-10-13 08:32:24
Lakshiya,Stranger Things,"I was not satisfied with the plot, could have had better twists and turns and also very predictable",Negative,2025-10-13 08:35:30
devesh,Stranger Things,Amazing plot twists and nostalgic 80s vibes. The kids’ performances are top-notch!,Positive,2025-10-13 09:30:26
AFRAH M,Dark,Mind-bending and brilliantly executed. Easily one of the smartest shows ever.,Positive,2025-10-13 09:31:50
Lakshiya,Dark,Got too confusing by the end. Needed a chart to understand it!,Negative,2025-10-13 09:32:36
Harish ,Dark,"Too slow at times, but still manages to keep the royal intrigue alive.",Positive,2025-10-13 09:33:47
AFRAH M,Breaking Bad,"Breaking Bad is a masterpiece of storytelling. The character development of Walter White is phenomenal, and every episode keeps you hooked. Easily one of the best shows ever made",Positive,2025-10-13 09:35:47
Lakshiya,Breaking Bad,"Honestly, the pacing was too slow for me. It felt dragged out at times, especially in the middle seasons. Not as thrilling as people make it sound",Negative,2025-10-13 09:36:14
devesh,Breaking Bad,Too much focus on the science and not enough on the action. I couldn’t connect with any of the characters — it felt dark and depressing rather than exciting.,Negative,2025-10-13 09:36:38
AFRAH M,Money Heist,"Money Heist has an interesting concept and stylish direction. While some episodes are intense and engaging, others feel repetitive. Overall, it’s entertaining but not something I’d rewatch soon.",Positive,2025-10-13 09:42:40
Dharshini VL,Wednesday,"Season 1 was good, and very interesting, but season 2 was very vague and no proper story line, disappointed with the plot twists and climax!",Negative,2025-10-13 10:39:03
Roshan,Dark,"The series was good, but casting could have been better, it felt slow and dull! overall, not a good watch!",Negative,2025-10-14 09:09:28
AFRAH M,Dark,"The movie was really great! Slow and very interesting, twists and reveals were amazing! I would recommend to a fellow mate",Positive,2025-10-16 01:24:40
AFRAH M,Stranger Things,It was a bad movie! The plot could have been better! ,Negative,2025-10-16 10:21:35
AFRAH M,Stranger Things,"It is a really good series, the cast was perfect, totally worth watching!",Positive,2025-10-17 12:45:05
ALMAA KATHIJA,Squid Game,"It was a really nice series! Interesting with many different characters, I really loved the plot and was intrigued to play this! lol!",Positive,2025-10-24 18:25:55
ALMAA KATHIJA,Squid Game,bad movie! not recommended for young children! Only one time watchable!,Negative,2025-10-24 18:27:02
